SA2_Code,Population,High_Value_Professionals,Professional_Density_per_1000,Professional_Industry_Workers,Professional_Industry_Concentration,Commercial_Density_Proxy,Median_Weekly_Income,Opportunity_Score,Demand_Gap_Index,Is_Established_Cluster,Is_Emerging_Cluster
116011307,25373,8414,331.6,1755,69.17,692.7,815,37.8,33.63,False,False
211031266,18715,7888,421.46,1358,72.56,1612.1,822,37.79,33.3,False,False
801011001,2605,1626,623.94,814,312.36,39.9,1372,37.79,26.71,False,False
121021404,11790,5850,496.14,1040,88.2,98.6,967,37.78,33.67,True,False
301031019,9446,5036,533.08,721,76.32,7.7,1220,37.77,32.93,False,False
103041078,22895,7786,340.06,2013,87.92,450.2,930,37.77,32.74,False,False
503011034,10764,6095,566.19,568,52.76,1766.8,1079,37.76,33.16,True,False
303031064,11020,5771,523.64,599,54.35,34.4,985,37.74,34.56,True,False
305031130,7978,5175,648.58,904,113.3,2998.8,1138,37.71,30.78,True,False
206051513,11857,8163,688.4,1400,118.06,9778.4,1220,37.67,19.78,True,False
125011710,20412,12952,634.5,1565,76.67,16661.4,1150,37.66,0.66,True,False
601051033,6397,4019,628.17,1041,162.71,855.4,995,37.66,31.83,False,False
126021723,18974,8625,454.55,1255,66.14,3494.9,762,37.65,31.74,True,False
303021055,10524,6494,617.01,1108,105.27,4538.0,1072,37.64,29.2,True,False
209031215,14417,6307,437.44,1344,93.22,8.4,961,37.63,33.02,True,False
121011682,9406,6084,646.75,826,87.81,4537.1,1201,37.62,29.15,True,False
128011603,13015,6050,464.81,953,73.22,47.6,1044,37.61,33.21,True,False
801011018,2739,1803,658.03,801,292.34,300.3,1190,37.59,27.97,False,False
404031108,17022,7416,435.65,1668,97.99,1511.5,774,37.59,32.8,False,False
401051017,10849,6119,563.96,942,86.82,2042.5,933,37.58,32.54,True,False
213031348,17131,9013,526.09,2048,119.54,7173.3,916,37.58,25.08,True,False
208021181,9369,5515,588.58,837,89.33,1789.4,1023,37.56,32.4,True,False
303011049,11826,5934,501.73,1085,91.74,866.6,1021,37.56,32.54,True,False
212051325,19889,7590,381.6,1170,58.82,30.3,746,37.55,34.52,False,False
111011209,24588,8138,330.96,1642,66.78,511.8,831,37.51,33.24,False,False
213031351,11735,6064,516.7,1383,117.84,1854.3,1003,37.51,31.32,True,False
504011046,13294,7151,537.87,1370,103.05,4226.8,1050,37.49,29.18,True,False
304041104,11681,5287,452.58,2077,177.79,383.6,1063,37.48,30.06,True,False
401021007,22113,7574,342.5,1983,89.67,97.3,825,37.48,32.95,False,False
115041623,10287,5122,497.86,814,79.12,28.0,1274,37.48,31.87,True,False
125041493,22853,8194,358.54,1629,71.28,1232.1,807,37.45,32.83,False,False
305031131,11025,6649,603.03,1142,103.57,4887.3,1105,37.41,28.32,True,False
125041491,20275,10047,495.51,1598,78.81,8307.6,1007,37.4,23.03,True,False
213031349,12573,6739,535.95,1230,97.82,3197.6,980,37.39,30.58,True,False
208031189,13563,6666,491.45,1201,88.54,2157.4,1022,37.39,31.35,True,False
203021046,10445,5457,522.4,714,68.35,178.4,1001,37.33,33.36,True,False
305021116,5133,3447,671.41,428,83.37,899.5,1352,37.33,31.71,False,False
117031647,16379,10722,654.58,1788,109.16,13962.5,1172,37.29,9.08,True,False
119031372,20220,7825,386.97,1443,71.36,1440.3,830,37.23,32.39,False,False
304011084,9716,5143,529.28,890,91.59,155.6,968,37.21,32.79,True,False
305031123,4627,3070,663.35,449,97.02,315.7,1322,37.2,31.56,False,False
402031175,18188,7041,387.1,1782,97.97,499.1,824,37.16,32.28,False,False
505031105,20764,7335,353.24,1344,64.72,140.7,922,37.16,32.59,False,False
801041035,7339,3346,455.86,2322,316.35,5.6,1183,37.15,25.51,False,False
206011109,10390,5382,517.95,1055,101.53,566.1,954,37.14,32.23,True,False
305031129,4031,2850,706.85,374,92.76,532.7,1253,37.14,32.07,False,False
211051281,23146,7645,330.28,1538,66.44,24.6,838,37.13,32.85,False,False
119031371,12594,6195,491.86,988,78.44,1270.4,974,37.11,32.05,True,False
601051031,12326,6221,504.66,1146,92.97,1534.3,887,37.1,31.99,True,False
601051028,9033,4816,533.1,1370,151.65,689.6,942,37.1,31.01,False,False
125021712,19251,8404,436.53,1265,65.71,3474.1,802,37.09,30.79,False,False
506031129,14518,6552,451.27,864,59.51,189.0,791,37.08,33.82,True,False
113031271,17788,6596,370.79,2426,136.38,214.2,856,37.07,31.05,False,False
505021095,12820,6199,483.5,1121,87.43,1364.3,991,37.07,31.6,True,False
111031235,9171,5094,555.39,1014,110.55,1183.1,996,37.05,31.52,True,False
126021724,20291,9137,450.28,1500,73.92,5611.1,880,37.02,27.55,True,False
801091103,3210,1872,583.0,999,311.12,282.1,1298,37.0,25.55,False,False
210051246,22095,7499,339.38,1552,70.24,0.0,793,36.99,32.82,False,False
801071090,7885,3528,447.38,2436,308.9,37.8,1127,36.98,25.66,False,False
505011075,11200,5526,493.35,812,72.49,126.1,983,36.98,32.63,True,False
701021021,6006,2830,471.12,1942,323.29,262.2,1356,36.98,24.25,False,False
121011684,19601,10355,528.26,1187,60.56,9417.9,912,36.93,20.93,True,False
110011186,23967,8163,340.58,1397,58.29,909.2,730,36.93,32.83,False,False
120011673,11453,7789,680.02,850,74.21,8659.7,1119,36.91,22.26,True,False
801091102,3706,2132,575.13,1037,279.74,360.5,1349,36.9,25.86,False,False
303041068,10825,5704,526.88,1280,118.23,2004.1,974,36.87,30.45,True,False
212021553,17760,6810,383.42,1196,67.34,3.3,883,36.87,32.49,False,False
211011260,17942,7234,403.17,1156,64.43,592.2,723,36.86,33.16,False,False
116021631,10011,4862,485.62,939,93.79,13.3,1208,36.86,30.74,False,False
122031693,13980,6885,492.45,1046,74.82,3102.1,1066,36.86,29.86,True,False
115031300,22161,7324,330.48,1529,68.99,79.8,907,36.81,31.87,False,False
116021633,13034,5799,444.88,912,69.97,0.0,1035,36.8,31.9,True,False
507021164,7819,4568,584.14,567,72.51,755.0,1075,36.74,31.97,False,False
209021526,14090,6100,432.9,1420,100.77,331.4,865,36.74,31.66,False,False
801081098,4000,2150,537.37,1271,317.67,109.9,1242,36.73,24.96,False,False
801081091,2867,1635,570.08,869,303.0,51.8,1378,36.71,24.8,False,False
801081092,3395,1852,545.35,1137,334.81,85.4,1251,36.69,24.46,False,False
506011308,16049,6215,387.23,1138,70.9,2.7,1105,36.69,30.98,False,False
213021341,13556,6024,444.35,1384,102.09,799.7,945,36.67,30.96,True,False
801081094,2816,1533,544.2,1017,361.02,110.6,1273,36.59,23.51,False,False
302011025,10044,4982,495.97,1439,143.26,1045.8,1042,36.57,29.51,False,False
109011172,17831,6629,371.75,1560,87.48,165.0,894,36.56,31.27,False,False
503011030,6805,4049,594.92,288,42.32,233.1,1228,36.55,31.98,False,False
801011026,2795,1596,570.82,850,304.01,37.1,1332,36.54,24.74,False,False
310011564,22478,7363,327.55,1812,80.61,247.1,805,36.53,31.55,False,False
120011672,12842,6391,497.63,1297,100.99,2927.7,1011,36.52,29.26,True,False
119031374,25259,9628,381.16,1234,48.85,4933.6,780,36.51,28.42,False,False
404011092,15634,6846,437.86,1348,86.22,1908.9,886,36.5,30.62,True,False
303021056,8895,4771,536.31,904,101.62,795.2,1031,36.5,30.8,False,False
210011231,10031,4996,498.01,930,92.7,180.4,994,36.48,31.24,False,False
403011056,15191,6435,423.58,1317,86.69,753.1,836,36.45,31.42,False,False
305031122,10754,6208,577.22,1007,93.63,4453.0,1099,36.44,27.78,True,False
214011374,24939,7564,303.29,1557,62.43,147.1,868,36.44,31.43,False,False
126021725,11972,7252,605.7,891,74.42,6797.6,1143,36.43,24.85,True,False
211041271,12413,5775,465.2,966,77.82,242.2,839,36.43,32.09,True,False
102011039,14849,6672,449.29,1051,70.77,1803.2,933,36.42,30.78,True,False
211011446,23560,7667,325.41,1467,62.26,552.1,796,36.42,31.71,False,False
209011199,14852,6419,432.17,1175,79.11,630.8,782,36.4,31.91,False,False
120031681,9253,5120,553.27,508,54.9,851.7,961,36.4,32.18,True,False
601051032,6727,3943,586.06,925,137.49,535.1,902,36.39,30.8,False,False
801091099,2680,1507,562.1,929,346.51,107.8,1191,36.39,24.08,False,False
505021093,14620,6438,440.33,1013,69.28,1058.4,889,36.38,31.39,True,False
801071078,7892,3244,411.0,2671,338.4,73.5,1157,36.37,23.53,False,False
507011161,17454,6634,380.06,1205,69.03,826.7,1064,36.37,30.32,False,False
305041133,5670,3916,690.53,578,101.92,2597.0,1071,36.36,30.01,False,False
207031163,22841,9936,434.99,1321,57.83,6595.3,682,36.34,26.15,False,False
206041510,7446,5185,696.25,809,108.63,5161.8,1047,36.31,27.18,True,False
212041566,15093,6311,418.11,695,46.04,82.6,890,36.29,32.2,False,False
304021087,7020,4104,584.53,421,59.96,140.7,1059,36.28,31.94,False,False
207021160,14191,6204,437.15,882,62.15,81.3,753,36.28,32.58,True,False
211021262,10112,5104,504.7,630,62.3,14.1,930,36.27,32.09,True,False
801091108,2687,1526,567.71,864,321.43,79.1,1222,36.26,24.37,False,False
207021424,15672,6800,433.87,931,59.4,957.6,704,36.23,32.32,False,False
304021086,10528,5080,482.48,915,86.9,6.3,935,36.23,31.24,True,False
503011031,9248,5323,575.52,482,52.11,2362.5,1115,36.22,30.31,True,False
211011254,16601,6546,394.29,979,58.97,29.4,791,36.19,32.1,False,False
304041101,8909,4528,508.19,1432,160.72,1166.9,1039,36.19,28.53,False,False
301021012,19263,6719,348.79,1302,67.59,99.7,920,36.13,30.82,False,False
118021566,9790,5328,544.17,837,85.49,2448.7,1116,36.1,29.18,True,False
505011076,9737,4778,490.66,763,78.35,33.6,1059,36.1,30.65,False,False
310041565,8987,4224,469.96,1222,135.96,0.0,1179,36.09,28.44,False,False
801011006,7265,3032,417.29,2393,329.34,46.2,1176,36.08,23.21,False,False
801041120,5310,2526,475.62,1670,314.44,182.7,1222,36.08,23.7,False,False
314021389,23089,7071,306.24,1685,72.98,86.8,928,36.07,30.3,False,False
115011556,10419,5445,522.55,661,63.44,1417.5,978,36.07,30.86,True,False
201011482,14750,6043,409.67,1248,84.6,162.6,837,36.05,31.01,False,False
801011007,5531,2677,483.91,1617,292.3,40.6,1149,36.04,24.61,False,False
122021421,11243,5407,480.88,668,59.41,572.5,1006,36.04,31.01,True,False
801041040,8586,4224,491.91,2493,290.32,2707.6,1049,36.03,24.53,False,False
506071146,11653,5563,477.35,674,57.83,143.5,805,35.97,32.13,True,False
309051244,19552,6907,353.25,1117,57.13,91.0,790,35.97,31.51,False,False
305021113,4554,2904,637.54,415,91.11,714.7,1300,35.95,29.48,False,False
125041589,21568,9587,444.48,1537,71.26,7648.2,926,35.95,23.12,True,False
401061022,8023,4484,558.82,596,74.28,763.5,1001,35.94,30.87,False,False
304021089,4345,2816,647.95,286,65.81,13.3,1205,35.94,30.89,False,False
125041489,22878,10948,478.52,2154,94.15,11331.0,944,35.93,15.5,True,False
201011002,12131,5642,465.05,964,79.46,584.4,842,35.93,31.07,True,False
701011005,3943,2157,546.91,1337,339.0,1774.9,1297,35.93,22.8,False,False
801011019,7049,3031,429.93,2130,302.13,9.8,1172,35.91,23.71,False,False
316011414,17501,6950,397.1,884,50.51,1160.6,834,35.91,31.07,False,False
302011026,7918,4023,508.02,1104,139.41,242.9,1056,35.9,28.83,False,False
801041048,5579,2606,467.03,1736,311.11,0.0,1134,35.9,23.87,False,False
507041180,10883,5158,473.91,791,72.68,16.8,907,35.89,31.13,True,False
801091104,2379,1305,548.32,766,321.85,0.0,1307,35.89,23.19,False,False
801041122,2405,1307,543.23,768,319.2,0.0,1342,35.87,23.01,False,False
801011016,7672,3424,446.24,2071,269.91,139.3,1050,35.87,25.18,False,False
402041171,13855,5946,429.13,1691,122.04,1424.3,896,35.86,29.06,False,False
801071080,4129,2198,532.2,1630,394.67,2247.0,1197,35.85,21.73,False,False
505011082,10193,4978,488.33,742,72.79,282.1,981,35.84,30.66,False,False
211051282,9706,4857,500.36,741,76.34,3.3,873,35.83,31.27,False,False
121021578,10629,5420,509.88,856,80.53,1357.7,884,35.82,30.5,True,False
122031424,14547,6121,420.75,989,67.98,692.5,893,35.82,30.61,False,False
504011044,15932,6181,387.94,1438,90.25,496.5,872,35.78,30.01,False,False
125021478,18508,7245,391.43,1101,59.48,1637.7,758,35.77,30.68,False,False
801091107,928,592,637.24,231,248.65,0.0,1497,35.76,24.39,False,False
210021232,14222,5622,395.28,1393,97.94,52.5,944,35.72,29.54,False,False
801091101,3787,1963,518.22,1153,304.38,218.4,1223,35.72,23.62,False,False
701011009,2858,1728,604.41,674,235.75,1149.2,1453,35.7,24.56,False,False
